date,precipitation,day,month,year
2025-01-01,0.0,1,1,2025
2025-01-02,0.0,2,1,2025
2025-01-03,0.0,3,1,2025
2025-01-04,0.0,4,1,2025
2025-01-05,0.0,5,1,2025
2025-01-06,0.0,6,1,2025
2025-01-07,0.0,7,1,2025
2025-01-08,0.0,8,1,2025
2025-01-09,0.0,9,1,2025
2025-01-10,0.0,10,1,2025
2025-01-11,0.0,11,1,2025
2025-01-12,0.0,12,1,2025
2025-01-13,0.0,13,1,2025
2025-01-14,0.0,14,1,2025
2025-01-15,0.0,15,1,2025
2025-01-16,0.0,16,1,2025
2025-01-17,0.0,17,1,2025
2025-01-18,0.0,18,1,2025
2025-01-19,0.0,19,1,2025
2025-01-20,0.0,20,1,2025
2025-01-21,0.0,21,1,2025
2025-01-22,0.0,22,1,2025
2025-01-23,0.0,23,1,2025
2025-01-24,0.0,24,1,2025
2025-01-25,0.0,25,1,2025
2025-01-26,0.0,26,1,2025
2025-01-27,0.0,27,1,2025
2025-01-28,0.0,28,1,2025
2025-01-29,0.0,29,1,2025
2025-01-30,0.0,30,1,2025
